distrito,Total,Hombres,Mujeres
València,45794,18502,27292
Ciutat Vella,1260,600,660
l'Eixample,1657,708,949
Extramurs,2322,988,1334
Campanar,1819,702,1117
la Saïdia,2741,1128,1613
el Pla del Real,1068,422,646
l'Olivereta,3151,1198,1953
Patraix,3100,1224,1876
Jesús,3330,1271,2059
Quatre Carreres,4887,1986,2901
Poblats Marítims,4336,1818,2518
Camins al Grau,3537,1430,2107
Algirós,1888,794,1094
Benimaclet,1475,593,882
Rascanya,3672,1466,2206
Benicalap,2822,1115,1707
Pobles del Nord,278,116,162
Pobles de l'Oest,1005,379,626
Pobles del Sud,1227,484,743
