Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
46250 València;4625001 València distrito 01;;Renta neta media por persona;2022;20.593
46250 València;4625002 València distrito 02;;Renta neta media por persona;2022;21.841
46250 València;4625003 València distrito 03;;Renta neta media por persona;2022;18.232
46250 València;4625004 València distrito 04;;Renta neta media por persona;2022;16.542
46250 València;4625005 València distrito 05;;Renta neta media por persona;2022;14.173
46250 València;4625006 València distrito 06;;Renta neta media por persona;2022;22.403
46250 València;4625007 València distrito 07;;Renta neta media por persona;2022;12.338
46250 València;4625008 València distrito 08;;Renta neta media por persona;2022;14.906
46250 València;4625009 València distrito 09;;Renta neta media por persona;2022;12.877
46250 València;4625010 València distrito 10;;Renta neta media por persona;2022;13.810
46250 València;4625011 València distrito 11;;Renta neta media por persona;2022;12.958
46250 València;4625012 València distrito 12;;Renta neta media por persona;2022;15.067
46250 València;4625013 València distrito 13;;Renta neta media por persona;2022;16.560
46250 València;4625014 València distrito 14;;Renta neta media por persona;2022;16.141
46250 València;4625015 València distrito 15;;Renta neta media por persona;2022;12.489
46250 València;4625016 València distrito 16;;Renta neta media por persona;2022;12.699
46250 València;4625017 València distrito 17;;Renta neta media por persona;2022;15.925
46250 València;4625018 València distrito 18;;Renta neta media por persona;2022;11.884
46250 València;4625019 València distrito 19;;Renta neta media por persona;2022;13.080
